match_set,season,match_date,round,hometeam,awayteam,location,judge_main,judge_sub,maxset,set_num,match_winner,set_winner,match_loser,set_loser,set_length,score_HT,score_AT,home_rot1,home_rot2,home_rot3,home_rot4,home_rot5,home_rot6,home_li1,home_li2,away_rot1,away_rot2,away_rot3,away_rot4,away_rot5,away_rot6,away_li1,away_li2
017_115_1,20202021,20210105,4R,EX,KG,김천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_115_2,20202021,20210105,4R,EX,KG,김천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_115_3,20202021,20210105,4R,EX,KG,김천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_115_4,20202021,20210105,4R,EX,KG,김천,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_119_1,20202021,20210108,4R,HK,HD,인천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_119_2,20202021,20210108,4R,HK,HD,인천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_119_3,20202021,20210108,4R,HK,HD,인천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_121_1,20202021,20210109,4R,IB,KG,화성,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_121_2,20202021,20210109,4R,IB,KG,화성,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_121_3,20202021,20210109,4R,IB,KG,화성,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_123_1,20202021,20210110,4R,GS,EX,서울,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_123_2,20202021,20210110,4R,GS,EX,서울,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_123_3,20202021,20210110,4R,GS,EX,서울,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_125_1,20202021,20210112,4R,HD,IB,수원,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_125_2,20202021,20210112,4R,HD,IB,수원,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_125_3,20202021,20210112,4R,HD,IB,수원,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_125_4,20202021,20210112,4R,HD,IB,수원,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_125_5,20202021,20210112,4R,HD,IB,수원,,,,5,,,,,,,,,,,,,,,,,,,,,,,
017_127_1,20202021,20210113,4R,EX,HK,김천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_127_2,20202021,20210113,4R,EX,HK,김천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_127_3,20202021,20210113,4R,EX,HK,김천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_127_4,20202021,20210113,4R,EX,HK,김천,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_127_5,20202021,20210113,4R,EX,HK,김천,,,,5,,,,,,,,,,,,,,,,,,,,,,,
017_130_1,20202021,20210115,4R,KG,GS,대전,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_130_2,20202021,20210115,4R,KG,GS,대전,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_130_3,20202021,20210115,4R,KG,GS,대전,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_130_4,20202021,20210115,4R,KG,GS,대전,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_132_1,20202021,20210116,4R,HD,EX,수원,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_132_2,20202021,20210116,4R,HD,EX,수원,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_132_3,20202021,20210116,4R,HD,EX,수원,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_132_4,20202021,20210116,4R,HD,EX,수원,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_134_1,20202021,20210117,4R,IB,HK,화성,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_134_2,20202021,20210117,4R,IB,HK,화성,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_134_3,20202021,20210117,4R,IB,HK,화성,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_137_1,20202021,20210120,4R,KG,HK,대전,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_137_2,20202021,20210120,4R,KG,HK,대전,,,,2,,,,,,,,,,,,,,,,,,,,,,,
